"","unit","year","usage","num_rdt","num_rdt_positive","prev_estimate"
"1","NAIROBI",2015,0.525238503363267,165.241015,0,0
"2","NYANDARUA",2015,0.161209539892308,29.382871,0,0
"3","NYERI",2015,0.0938293626856862,43.605335,0,0
"4","KIRINYAGA",2015,0.509111950655703,35.220073,0,0
"5","MURANGA",2015,0.151853870305926,23.921191,0,0
"6","THIKA",2015,0.425591898090126,75.91572,0,0
"7","MARAGUA",2015,0.41025641025641,0.82236,0,0
"8","KIAMBU",2015,0.18236303531467,79.829399,1.240648,0.0155412418926015
"9","MOMBASA",2015,0.516287293849708,45.800175,0,0
"10","KWALE",2015,0.721441624417798,36.048391,3.413459,0.0946910224092942
"11","KILIFI",2015,0.532198210899905,47.186381,9.481282,0.200932595360513
"12","MALINDI",2015,0.64646660885142,41.099852,0,0
"13","TANA RIVER",2015,0.460054365395379,33.148272,0,0
"14","LAMU",2015,0.643020723336333,9.574756,0.063489,0.00663087393558645
"15","TAITA TAVETA",2015,0.594064242454455,44.418235,2.330496,0.0524671005050066
"16","MARSABIT",2015,0.0164947779688154,39.350639,0,0
"17","MOYALE",2015,0.284090909090909,2.749227,0,0
"18","ISIOLO",2015,0.474555441247218,12.233081,0.157795,0.012899039906627
"19","MERU CENTRAL",2015,0.547646692276003,43.358436,0,0
"20","MERU NORTH",2015,0.438933769576226,39.773118,0,0
"21","MERU SOUTH",2015,0.47877821538981,11.779755,0,0
"22","THARAKA",2015,0.752941176470588,12.168615,0,0
"23","EMBU",2015,0.360584492362878,16.726742,0,0
"24","MBEERE",2015,0.432203389830508,20.98524,0,0
"25","KITUI",2015,0.34989340441067,60.676872,0,0
"26","MWINGI",2015,0.288421683694464,30.154092,0,0
"27","MACHAKOS",2015,0.414762408611803,139.241453,0,0
"28","MAKUENI",2015,0.330013114100911,47.144157,0,0
"29","GARISSA",2015,0.191166299175988,39.651198,0,0
"30","WAJIR",2015,0.434045887995353,29.427237,0,0
"31","MANDERA",2015,0.42415680092843,49.369905,0,0
"32","SIAYA",2015,0.894525516224009,42.169466,28.396498,0.67339003059702
"33","BONDO",2015,0.86567660457997,20.75905,7.98425,0.384615384615385
"34","KISUMU",2015,0.820307329169988,29.459575,10.467536,0.355318635791589
"35","NYANDO",2015,0.840955166077945,48.47454,11.703352,0.241432966666625
"36","MIGORI",2015,0.553897102390467,62.846269,18.780282,0.298828909000151
"37","KURIA",2015,0.77037037037037,16.099327,9.320663,0.578947368421053
"38","HOMA BAY",2015,0.754889203307351,44.530985,10.76428,0.241725620935625
"39","SUBA",2015,0.714960499738748,33.922325,8.023835,0.236535526382699
"40","RACHUONYO",2015,0.805084745762712,26.736645,6.169995,0.230769230769231
"41","CENTRAL KISII",2015,0.495580401814291,25.230573,4.226712,0.167523424854441
"42","GUCHA",2015,0.521866234541528,32.75322,1.984546,0.0605908670964259
"43","NYAMIRA",2015,0.504286900248726,26.189705,0,0
"44","TURKANA",2015,0.140621503863473,21.086125,0.309014,0.0146548500494994
"45","WEST POKOT",2015,0.637647672318534,47.530132,3.779175,0.0795111404277186
"46","SAMBURU",2015,0.0537583110898353,20.143474,0,0
"47","TRANS NZOIA",2015,0.465321491659183,79.700146,3.993556,0.0501072607821823
"48","BARINGO",2015,0.320759860368172,29.83856,0,0
"49","KOIBATEK",2015,0.369689076880618,38.233308,0,0
"50","UASIN GISHU",2015,0.470631791159659,101.968758,0,0
"51","MARAKWET",2015,0.0532836112775285,15.703649,0,0
"52","KEIYO",2015,0.27526094556635,13.254468,0.791526,0.0597176740703588
"53","NANDI",2015,0.613819766458792,56.077885,2.178822,0.0388534981303236
"54","LAIKIPIA",2015,0.191423442181805,53.832922,0,0
"55","NAKURU",2015,0.128164245703325,158.37666,2.470844,0.0156010614190247
"56","NAROK",2015,0.270910958501348,53.530464,2.623884,0.0490166496595285
"57","TRANS MARA",2015,0.745341614906832,19.204176,0,0
"58","KAJIADO",2015,0.400348491924341,51.263701,1.993905,0.0388950653406784
"59","KERICHO",2015,0.712331886817179,43.434067,0,0
"60","BURET",2015,0.77395924804876,59.676013,0,0
"61","BOMET",2015,0.825804592670574,54.907154,0,0
"62","KAKAMEGA",2015,0.487424617584204,83.036542,18.635078,0.224420207671943
"63","LUGARI",2015,0.538461538461538,29.983716,0,0
"64","BUTERE/MUMIAS",2015,0.481028105249945,54.27086,26.467892,0.487699881667621
"65","VIHIGA",2015,0.672123582869612,55.438988,11.998651,0.216429834541713
"66","BUNGOMA",2015,0.529997780636225,93.357373,25.813502,0.276502017682096
"67","MT ELGON",2015,0.285160557597393,34.303036,3.20113,0.0933191452791526
"68","BUSIA",2015,0.721854304635762,26.39195,16.6686,0.631578947368421
"69","TESO",2015,0.709375693651981,62.615098,23.023356,0.367696557785472
